t,x,y,r,θr
0.934,19.48,2.930,19.70,8.556
0.968,19.55,2.492,19.70,7.267
1.001,19.62,1.885,19.71,5.489
1.035,19.67,1.179,19.71,3.429
1.068,19.70,0.374,19.71,1.086
1.101,19.71,-0.472,19.71,-1.371
1.135,19.67,-1.317,19.71,-3.832
1.168,19.59,-2.102,19.71,-6.125
1.201,19.50,-2.797,19.70,-8.162
1.235,19.41,-3.358,19.70,-9.814
1.268,19.34,-3.745,19.70,-10.96
1.302,19.30,-3.962,19.71,-11.60
1.335,19.30,-3.986,19.71,-11.67
1.368,19.34,-3.813,19.71,-11.16
1.402,19.41,-3.456,19.72,-10.09
1.435,19.49,-2.939,19.71,-8.575
1.468,19.58,-2.297,19.72,-6.690
1.502,19.66,-1.554,19.72,-4.519
1.535,19.71,-0.746,19.72,-2.167
1.568,19.71,6.496E-2,19.71,0.189
1.602,19.66,0.867,19.68,2.523
1.635,19.61,1.577,19.67,4.598
1.669,19.54,2.171,19.66,6.338
1.702,19.46,2.640,19.64,7.726
1.735,19.42,2.919,19.64,8.548
1.769,19.41,3.023,19.64,8.855
1.802,19.41,2.938,19.64,8.607
1.835,19.48,2.649,19.66,7.744
1.869,19.58,2.189,19.70,6.379
1.902,19.70,1.578,19.77,4.580
1.936,19.83,0.821,19.85,2.370
1.969,19.92,1.275E-2,19.92,3.668E-2
2.002,19.91,-0.792,19.93,-2.278
2.036,19.87,-1.572,19.94,-4.524
2.069,19.59,-2.208,19.71,-6.431
2.102,19.50,-2.829,19.71,-8.254
2.136,19.42,-3.328,19.71,-9.721
2.169,19.36,-3.667,19.70,-10.73
2.203,19.31,-3.824,19.69,-11.20
2.236,19.32,-3.816,19.70,-11.17
2.269,19.36,-3.609,19.69,-10.56
2.303,19.44,-3.236,19.71,-9.451
2.336,19.50,-2.715,19.69,-7.926
2.369,19.58,-2.071,19.69,-6.037
2.403,19.66,-1.348,19.70,-3.922
2.436,19.69,-0.567,19.70,-1.650
2.470,19.70,0.206,19.70,0.600
2.503,19.67,0.938,19.69,2.731
2.536,19.61,1.586,19.67,4.623
2.570,19.56,2.120,19.67,6.186
2.603,19.49,2.514,19.65,7.348
2.636,19.46,2.742,19.65,8.021
2.670,19.45,2.803,19.65,8.201
2.703,19.48,2.684,19.66,7.847
2.737,19.53,2.393,19.68,6.985
2.770,19.58,1.949,19.68,5.682
2.803,19.65,1.367,19.70,3.980
2.837,19.68,0.686,19.69,1.995
2.870,19.70,-5.990E-2,19.70,-0.174
2.903,19.69,-0.824,19.71,-2.395
2.937,19.65,-1.559,19.71,-4.538
2.970,19.58,-2.237,19.71,-6.517
3.003,19.50,-2.813,19.70,-8.207
3.037,19.43,-3.249,19.70,-9.491
3.070,19.38,-3.540,19.70,-10.36
3.104,19.36,-3.660,19.70,-10.71
3.137,19.37,-3.598,19.70,-10.52
3.170,19.41,-3.370,19.70,-9.849
3.204,19.48,-2.988,19.71,-8.720
3.237,19.55,-2.456,19.71,-7.158
3.270,19.62,-1.832,19.71,-5.333
3.304,19.66,-1.131,19.70,-3.292
3.337,19.69,-0.397,19.69,-1.156
3.371,19.69,0.332,19.70,0.967
3.404,19.67,1.004,19.69,2.923
3.437,19.62,1.591,19.68,4.636
3.471,19.56,2.067,19.67,6.034
3.504,19.51,2.406,19.66,7.029
3.537,19.49,2.579,19.66,7.539
3.571,19.49,2.586,19.66,7.558
3.604,19.51,2.428,19.66,7.096
3.638,19.56,2.106,19.67,6.145
3.671,19.61,1.649,19.67,4.807
3.704,19.65,1.074,19.68,3.127
3.738,19.68,0.408,19.68,1.186
3.771,19.67,-0.312,19.68,-0.908
3.804,19.65,-1.027,19.68,-2.991
3.838,19.60,-1.720,19.68,-5.014
3.871,19.54,-2.333,19.68,-6.808
3.905,19.47,-2.850,19.68,-8.327
3.938,19.41,-3.227,19.67,-9.439
3.971,19.37,-3.448,19.68,-10.09
4.005,19.36,-3.511,19.68,-10.28
4.038,19.38,-3.401,19.67,-9.954
4.071,19.43,-3.137,19.68,-9.173
4.105,19.49,-2.740,19.68,-8.003
4.138,19.55,-2.215,19.68,-6.464
4.172,19.61,-1.602,19.68,-4.671
4.205,19.65,-0.929,19.67,-2.707
4.238,19.66,-0.228,19.67,-0.664
4.272,19.66,0.450,19.67,1.310
4.305,19.63,1.078,19.66,3.144
4.338,19.59,1.614,19.65,4.710
4.372,19.55,2.027,19.65,5.921
4.405,19.51,2.296,19.65,6.710
4.438,19.51,2.426,19.66,7.089
4.472,19.51,2.380,19.65,6.956
4.505,19.54,2.174,19.66,6.349
4.539,19.59,1.830,19.68,5.336
4.572,19.64,1.368,19.68,3.985
4.605,19.68,0.800,19.70,2.328
4.639,19.70,0.159,19.70,0.461
4.672,19.69,-0.524,19.70,-1.525
4.705,19.68,-1.208,19.71,-3.513
