t,x,y,r,θr
2.269,14.06,13.71,19.64,44.29
2.303,16.65,10.37,19.62,31.92
2.336,17.87,7.985,19.57,24.08
2.369,19.08,4.451,19.60,13.13
2.403,19.52,0.842,19.54,2.470
2.436,19.25,-2.505,19.41,-7.415
2.470,18.45,-5.915,19.38,-17.77
2.503,17.16,-8.875,19.32,-27.35
2.536,15.73,-11.09,19.25,-35.18
2.570,14.41,-12.73,19.23,-41.47
2.603,13.43,-13.73,19.20,-45.64
2.636,13.07,-14.07,19.21,-47.11
2.670,13.31,-13.83,19.20,-46.10
2.703,14.28,-12.86,19.22,-42.02
2.736,15.46,-11.46,19.25,-36.54
2.770,16.81,-9.471,19.29,-29.40
2.803,18.09,-6.802,19.33,-20.60
2.837,19.06,-3.696,19.41,-10.97
2.870,19.49,-0.267,19.49,-0.785
2.903,19.31,3.076,19.56,9.048
2.937,18.56,6.248,19.58,18.61
2.970,17.35,9.138,19.61,27.78
3.003,16.04,11.38,19.66,35.35
3.037,14.80,12.93,19.65,41.14
3.070,13.89,13.93,19.67,45.08
3.104,13.49,14.32,19.68,46.71
3.137,13.70,14.13,19.68,45.88
3.170,14.46,13.35,19.68,42.72
3.204,15.61,11.96,19.67,37.46
3.237,16.96,9.932,19.66,30.35
3.270,18.27,7.155,19.62,21.39
3.304,19.20,3.977,19.60,11.70
3.337,19.59,0.512,19.59,1.499
3.371,19.30,-2.787,19.50,-8.219
3.404,18.50,-5.997,19.45,-17.96
3.437,17.32,-8.775,19.42,-26.86
3.471,16.02,-10.88,19.37,-34.19
3.504,14.86,-12.35,19.32,-39.74
3.537,14.07,-13.18,19.28,-43.14
3.571,13.78,-13.46,19.26,-44.33
3.604,14.06,-13.20,19.28,-43.20
3.638,14.82,-12.36,19.30,-39.82
3.671,15.95,-10.95,19.35,-34.46
3.704,17.23,-8.900,19.39,-27.32
3.738,18.40,-6.257,19.43,-18.79
3.771,19.20,-3.168,19.46,-9.370
3.804,19.55,1.577E-2,19.55,4.624E-2
3.838,19.32,3.254,19.59,9.561
3.871,18.55,6.299,19.59,18.75
3.905,17.41,9.013,19.60,27.37
3.938,16.13,11.14,19.61,34.63
3.971,14.99,12.68,19.64,40.22
4.005,14.21,13.55,19.63,43.65
4.038,13.90,13.86,19.63,44.91
4.071,14.17,13.60,19.65,43.83
4.105,14.92,12.77,19.64,40.56
4.138,16.05,11.28,19.62,35.08
4.171,17.34,9.154,19.61,27.82
4.205,18.54,6.375,19.60,18.98
4.238,19.35,3.208,19.61,9.414
4.272,19.60,-8.592E-2,19.60,-0.251
4.305,19.24,-3.255,19.51,-9.604
4.338,18.42,-6.335,19.48,-18.98
4.372,17.28,-8.927,19.45,-27.32
4.405,16.06,-10.91,19.41,-34.18
4.438,15.01,-12.20,19.34,-39.11
4.472,14.33,-12.98,19.33,-42.17
4.505,14.15,-13.16,19.33,-42.92
4.539,14.52,-12.78,19.34,-41.36
4.572,15.32,-11.87,19.38,-37.77
4.605,16.43,-10.35,19.41,-32.21
4.639,17.63,-8.244,19.46,-25.07
4.672,18.67,-5.569,19.48,-16.61
4.705,19.35,-2.549,19.52,-7.502
4.739,19.60,0.481,19.60,1.407
4.772,19.25,3.720,19.61,10.94
4.806,18.44,6.655,19.60,19.84
4.839,17.33,9.162,19.61,27.86
4.872,16.13,11.15,19.61,34.66
4.906,15.15,12.52,19.65,39.59
4.939,14.56,12.69,19.31,41.07
4.972,14.41,12.85,19.31,41.74
5.006,14.75,12.52,19.35,40.34
5.039,15.55,11.61,19.41,36.73
5.073,16.65,10.43,19.65,32.07
5.106,17.85,8.167,19.63,24.59
5.139,18.89,5.379,19.64,15.90
5.173,19.53,2.248,19.66,6.565
5.206,19.63,-1.044,19.66,-3.042
5.239,19.17,-4.214,19.63,-12.40
5.273,18.31,-7.026,19.61,-20.99
5.306,17.19,-9.485,19.63,-28.89
5.340,16.06,-11.37,19.68,-35.31
5.373,15.16,-12.57,19.69,-39.66
5.406,14.64,-13.15,19.68,-41.94
5.440,14.59,-13.19,19.67,-42.10
5.473,15.03,-12.69,19.68,-40.17
5.506,15.87,-11.65,19.69,-36.27
5.540,16.95,-10.01,19.68,-30.56
5.573,18.06,-7.698,19.63,-23.09
5.606,18.96,-5.007,19.61,-14.79
5.640,19.52,-1.995,19.62,-5.835
5.673,19.59,1.162,19.63,3.395
5.707,19.17,4.150,19.61,12.22
5.740,18.32,6.990,19.61,20.88
5.773,17.23,9.321,19.59,28.42
5.807,16.15,11.13,19.61,34.57
5.840,15.30,11.94,19.41,37.95
5.873,14.84,12.43,19.36,39.94
5.907,14.83,12.44,19.36,39.99
5.940,15.28,11.94,19.39,38.02
5.974,16.13,10.86,19.45,33.95
6.007,17.23,9.434,19.64,28.70
6.040,18.32,7.043,19.63,21.03
6.074,19.18,4.227,19.64,12.43
6.107,19.63,1.139,19.66,3.321
6.140,19.57,-2.051,19.68,-5.982
6.174,19.00,-5.010,19.65,-14.77
6.207,18.07,-7.709,19.65,-23.10
6.241,16.99,-9.953,19.69,-30.36
6.274,15.98,-11.54,19.71,-35.82
6.307,15.23,-12.50,19.71,-39.39
6.341,14.87,-12.90,19.69,-40.94
6.374,14.96,-12.77,19.67,-40.50
6.407,15.52,-12.11,19.68,-37.96
6.441,16.41,-10.90,19.70,-33.59
6.474,17.48,-9.089,19.70,-27.48
6.508,18.46,-6.671,19.63,-19.87
6.541,19.20,-3.888,19.59,-11.45
6.574,19.57,-0.916,19.59,-2.680
6.608,19.53,2.045,19.63,5.979
6.641,18.97,5.064,19.63,14.95
6.674,18.08,7.534,19.59,22.62
6.708,17.01,9.723,19.59,29.76
6.741,16.08,10.94,19.44,34.22
6.774,15.42,11.79,19.41,37.40
6.808,15.16,12.10,19.39,38.61
6.841,15.28,11.94,19.40,38.01
6.875,15.81,11.28,19.43,35.51
6.908,16.72,9.965,19.46,30.80
6.941,17.79,8.049,19.53,24.34
6.975,18.77,5.681,19.61,16.84
7.008,19.45,2.829,19.66,8.274
7.041,19.65,-6.471E-2,19.65,-0.189
7.075,19.39,-3.126,19.64,-9.161
