t,x,y,r,θr
0.534,17.90,7.790,19.53,23.51
0.567,18.25,7.042,19.56,21.10
0.601,18.66,5.909,19.57,17.57
0.634,19.08,4.452,19.59,13.13
0.667,19.43,2.756,19.62,8.075
0.701,19.62,0.885,19.64,2.583
0.734,19.64,-1.018,19.67,-2.966
0.768,19.46,-2.844,19.66,-8.316
0.801,19.16,-4.470,19.68,-13.13
0.834,18.80,-5.803,19.67,-17.16
0.868,18.43,-6.805,19.65,-20.26
0.901,18.18,-7.435,19.65,-22.24
0.934,18.07,-7.684,19.64,-23.04
0.968,18.15,-7.542,19.65,-22.57
1.001,18.36,-7.033,19.66,-20.96
1.034,18.69,-6.140,19.67,-18.19
1.068,19.04,-4.931,19.67,-14.52
1.101,19.37,-3.424,19.67,-10.02
1.135,19.58,-1.714,19.65,-5.003
1.168,19.65,0.120,19.65,0.349
1.201,19.53,1.946,19.63,5.688
1.235,19.26,3.666,19.61,10.78
1.268,18.90,5.173,19.59,15.31
1.301,18.51,6.395,19.58,19.06
1.335,18.17,7.254,19.56,21.76
1.368,17.97,7.755,19.57,23.34
1.402,17.92,7.855,19.57,23.67
1.435,18.05,7.559,19.57,22.72
1.468,18.35,6.876,19.59,20.55
1.502,18.73,5.829,19.61,17.29
1.535,19.11,4.458,19.62,13.13
1.568,19.43,2.838,19.64,8.308
1.602,19.63,1.067,19.65,3.112
1.635,19.66,-0.774,19.68,-2.255
1.669,19.52,-2.545,19.69,-7.428
1.702,19.24,-4.145,19.68,-12.16
1.735,18.90,-5.472,19.67,-16.15
1.769,18.57,-6.482,19.67,-19.24
1.802,18.31,-7.143,19.65,-21.31
1.835,18.19,-7.427,19.65,-22.20
1.869,18.22,-7.330,19.64,-21.91
1.902,18.40,-6.880,19.65,-20.50
1.936,18.71,-6.055,19.66,-17.94
1.969,19.05,-4.904,19.67,-14.44
2.002,19.36,-3.469,19.67,-10.16
2.036,19.58,-1.837,19.67,-5.359
2.069,19.64,-8.356E-2,19.65,-0.244
2.102,19.56,1.691,19.63,4.942
2.136,19.32,3.366,19.61,9.883
2.169,18.99,4.843,19.60,14.30
2.202,18.64,6.049,19.59,17.98
2.236,18.32,6.930,19.59,20.72
2.269,18.11,7.448,19.58,22.36
2.303,18.04,7.587,19.57,22.81
2.336,18.15,7.348,19.58,22.04
2.369,18.40,6.715,19.59,20.05
2.403,18.75,5.743,19.61,17.03
2.436,19.11,4.455,19.63,13.12
2.469,19.43,2.907,19.65,8.508
2.503,19.61,1.201,19.65,3.503
2.536,19.66,-0.570,19.66,-1.660
2.570,19.53,-2.293,19.66,-6.697
2.603,19.29,-3.848,19.67,-11.29
2.636,18.98,-5.162,19.67,-15.22
2.670,18.65,-6.186,19.65,-18.35
2.703,18.41,-6.854,19.65,-20.42
2.736,18.29,-7.171,19.64,-21.41
2.770,18.31,-7.100,19.64,-21.19
2.803,18.48,-6.688,19.65,-19.89
2.837,18.75,-5.918,19.66,-17.52
2.870,19.05,-4.842,19.65,-14.26
2.903,19.35,-3.476,19.66,-10.18
2.937,19.56,-1.919,19.65,-5.602
2.970,19.65,-0.229,19.65,-0.667
3.003,19.59,1.475,19.65,4.305
3.037,19.38,3.099,19.63,9.083
3.070,19.08,4.539,19.61,13.38
3.103,18.73,5.733,19.59,17.02
3.137,18.43,6.618,19.58,19.75
3.170,18.24,7.149,19.59,21.41
3.204,18.17,7.317,19.58,21.94
3.237,18.25,7.106,19.59,21.27
3.270,18.48,6.530,19.60,19.47
3.304,18.78,5.611,19.60,16.63
3.337,19.13,4.380,19.62,12.90
3.370,19.42,2.900,19.64,8.492
3.404,19.61,1.267,19.65,3.698
3.437,19.65,-0.441,19.66,-1.284
3.471,19.54,-2.099,19.66,-6.131
3.504,19.32,-3.619,19.65,-10.61
3.537,19.02,-4.908,19.64,-14.47
3.571,18.73,-5.906,19.64,-17.50
3.604,18.49,-6.587,19.63,-19.61
3.637,18.37,-6.911,19.62,-20.62
3.671,18.37,-6.881,19.61,-20.54
3.704,18.52,-6.508,19.63,-19.36
3.738,18.76,-5.783,19.63,-17.13
3.771,19.07,-4.747,19.65,-13.98
3.804,19.33,-3.454,19.64,-10.13
3.838,19.54,-1.941,19.64,-5.673
3.871,19.64,-0.322,19.64,-0.938
3.904,19.58,1.320,19.62,3.858
3.938,19.40,2.895,19.62,8.487
3.971,19.13,4.312,19.61,12.70
4.005,18.82,5.477,19.60,16.22
4.038,18.54,6.348,19.60,18.90
4.071,18.35,6.879,19.60,20.55
4.105,18.28,7.051,19.59,21.09
4.138,18.36,6.861,19.60,20.49
4.171,18.56,6.328,19.61,18.82
4.205,18.84,5.457,19.62,16.15
4.238,19.16,4.285,19.63,12.61
4.271,19.45,2.868,19.66,8.388
4.305,19.64,1.292,19.68,3.763
4.338,19.69,-0.351,19.69,-1.022
4.372,19.61,-1.959,19.71,-5.705
4.405,19.42,-3.435,19.73,-10.03
4.438,19.14,-4.690,19.71,-13.77
4.472,18.83,-5.687,19.67,-16.81
4.505,18.62,-6.355,19.67,-18.85
4.538,18.51,-6.680,19.68,-19.84
4.572,18.51,-6.671,19.67,-19.82
4.605,18.62,-6.321,19.66,-18.75
4.639,18.82,-5.639,19.65,-16.68
4.672,19.12,-4.654,19.67,-13.68
4.705,19.38,-3.402,19.68,-9.957
4.739,19.56,-1.976,19.66,-5.769
4.772,19.65,-0.409,19.65,-1.192
4.805,19.59,1.196,19.63,3.492
4.839,19.44,2.717,19.63,7.956
4.872,19.19,4.077,19.62,12.00
4.906,18.88,5.214,19.59,15.44
4.939,18.63,6.066,19.59,18.03
4.972,18.46,6.591,19.60,19.65
5.006,18.40,6.772,19.60,20.21
5.039,18.45,6.603,19.60,19.69
5.072,18.63,6.098,19.61,18.12
5.106,18.91,5.272,19.63,15.58
5.139,19.20,4.155,19.65,12.21
5.172,19.44,2.795,19.64,8.180
5.206,19.61,1.284,19.65,3.746
5.239,19.66,-0.297,19.66,-0.864
5.273,19.58,-1.846,19.67,-5.386
5.306,19.39,-3.276,19.66,-9.592
5.339,19.14,-4.490,19.66,-13.20
5.373,18.89,-5.452,19.66,-16.10
5.406,18.68,-6.108,19.65,-18.11
5.439,18.56,-6.437,19.64,-19.13
5.473,18.55,-6.441,19.64,-19.15
5.506,18.66,-6.106,19.64,-18.12
5.540,18.88,-5.458,19.65,-16.13
5.573,19.12,-4.505,19.64,-13.26
5.606,19.37,-3.299,19.65,-9.667
5.640,19.55,-1.917,19.64,-5.601
5.673,19.62,-0.429,19.62,-1.254
5.706,19.61,1.126,19.65,3.285
5.740,19.46,2.569,19.63,7.519
5.773,19.21,3.887,19.60,11.44
5.807,18.97,5.001,19.61,14.77
5.840,18.73,5.821,19.61,17.27
5.873,18.55,6.338,19.61,18.86
5.907,18.49,6.516,19.60,19.42
5.940,18.54,6.363,19.60,18.94
5.973,18.72,5.874,19.62,17.42
6.007,18.96,5.083,19.63,15.01
6.040,19.22,3.993,19.63,11.74
6.074,19.48,2.687,19.66,7.854
6.107,19.63,1.226,19.66,3.575
6.140,19.68,-0.291,19.68,-0.847
6.174,19.60,-1.769,19.68,-5.156
6.207,19.43,-3.133,19.68,-9.163
6.240,19.18,-4.317,19.66,-12.68
6.274,18.94,-5.250,19.66,-15.49
6.307,18.75,-5.890,19.66,-17.43
6.340,18.65,-6.203,19.65,-18.40
6.374,18.65,-6.205,19.66,-18.40
6.407,18.76,-5.879,19.66,-17.40
6.441,18.95,-5.246,19.66,-15.48
6.474,19.18,-4.327,19.66,-12.72
6.507,19.41,-3.177,19.67,-9.297
6.541,19.58,-1.841,19.67,-5.372
