t,x,y,r,θr
1.135,50.86,2.572,50.93,2.895
1.168,50.90,1.711,50.93,1.925
1.201,50.92,1.218,50.94,1.370
1.235,50.93,0.700,50.94,0.788
1.268,50.93,0.167,50.94,0.188
1.302,50.94,-0.368,50.94,-0.414
1.335,50.93,-0.890,50.93,-1.001
1.368,50.92,-1.398,50.93,-1.573
1.402,50.90,-1.881,50.93,-2.116
1.435,50.87,-2.322,50.92,-2.614
1.468,50.85,-2.723,50.92,-3.066
1.502,50.83,-3.060,50.92,-3.445
1.535,50.81,-3.321,50.92,-3.739
1.568,50.79,-3.514,50.92,-3.958
1.602,50.79,-3.629,50.92,-4.087
1.635,50.79,-3.667,50.92,-4.130
1.669,50.79,-3.639,50.92,-4.098
1.702,50.80,-3.529,50.92,-3.974
1.735,50.81,-3.340,50.92,-3.761
1.769,50.83,-3.086,50.92,-3.474
1.802,50.85,-2.778,50.92,-3.128
1.835,50.86,-2.411,50.92,-2.714
1.869,50.88,-1.986,50.92,-2.235
1.902,50.89,-1.526,50.91,-1.717
1.936,50.90,-1.036,50.91,-1.166
1.969,50.91,-0.528,50.91,-0.594
2.002,50.91,-6.752E-3,50.91,-7.599E-3
2.036,50.90,0.514,50.90,0.579
2.069,50.90,1.026,50.91,1.154
2.102,50.89,1.517,50.91,1.707
2.136,50.87,1.966,50.91,2.213
2.169,50.84,2.381,50.89,2.681
2.203,50.82,2.737,50.90,3.083
2.236,50.81,3.029,50.90,3.412
2.269,50.79,3.254,50.90,3.666
2.303,50.78,3.413,50.90,3.845
2.336,50.79,3.486,50.91,3.926
2.369,50.80,3.490,50.92,3.931
2.403,50.81,3.422,50.92,3.854
2.436,50.81,3.273,50.92,3.685
2.470,50.83,3.049,50.92,3.433
2.503,50.85,2.758,50.92,3.104
2.536,50.87,2.406,50.93,2.708
2.570,50.89,2.010,50.93,2.262
2.603,50.91,1.567,50.93,1.763
2.636,50.92,1.093,50.94,1.229
2.670,50.94,0.599,50.95,0.674
2.703,50.95,7.856E-2,50.95,8.834E-2
2.737,50.96,-0.452,50.96,-0.508
2.770,50.97,-0.966,50.98,-1.085
2.803,50.95,-1.469,50.97,-1.651
2.837,50.94,-1.932,50.98,-2.172
2.870,50.92,-2.358,50.97,-2.651
2.903,50.90,-2.738,50.98,-3.079
2.937,50.89,-3.064,50.98,-3.446
2.970,50.87,-3.324,50.97,-3.739
3.003,50.85,-3.518,50.97,-3.958
3.037,50.85,-3.635,50.98,-4.089
3.070,50.85,-3.678,50.99,-4.137
3.104,50.85,-3.648,50.98,-4.103
3.137,50.86,-3.529,50.98,-3.970
3.170,50.87,-3.340,50.97,-3.757
3.204,50.89,-3.088,50.98,-3.473
3.237,50.90,-2.778,50.98,-3.124
3.270,50.93,-2.414,50.98,-2.714
3.304,50.94,-1.997,50.98,-2.245
3.337,50.95,-1.541,50.97,-1.733
3.371,50.96,-1.056,50.97,-1.187
3.404,50.97,-0.557,50.97,-0.626
3.437,50.98,-5.679E-2,50.98,-6.382E-2
3.471,50.97,0.454,50.97,0.510
3.504,50.96,0.948,50.97,1.066
3.537,50.96,1.419,50.98,1.595
3.571,50.95,1.860,50.98,2.090
3.604,50.92,2.260,50.97,2.542
3.638,50.90,2.614,50.97,2.939
3.671,50.89,2.909,50.97,3.272
3.704,50.88,3.143,50.97,3.535
3.738,50.87,3.309,50.97,3.722
3.771,50.86,3.397,50.97,3.821
3.804,50.86,3.404,50.97,3.829
3.838,50.86,3.338,50.97,3.755
3.871,50.88,3.201,50.98,3.601
3.905,50.88,2.994,50.97,3.367
3.938,50.90,2.721,50.97,3.060
3.971,50.92,2.389,50.98,2.686
4.005,50.94,2.001,50.98,2.249
4.038,50.95,1.567,50.97,1.762
4.071,50.96,1.105,50.97,1.242
4.105,50.97,0.617,50.97,0.694
4.138,50.98,0.121,50.98,0.136
4.172,50.99,-0.394,50.99,-0.443
4.205,50.97,-0.895,50.98,-1.006
4.238,50.96,-1.369,50.98,-1.539
4.272,50.95,-1.826,50.98,-2.052
4.305,50.93,-2.240,50.98,-2.519
4.338,50.91,-2.610,50.98,-2.935
4.372,50.89,-2.937,50.98,-3.303
4.405,50.88,-3.194,50.98,-3.592
4.438,50.86,-3.389,50.97,-3.813
4.472,50.85,-3.516,50.98,-3.955
4.505,50.85,-3.560,50.98,-4.005
4.539,50.85,-3.534,50.98,-3.975
4.572,50.87,-3.437,50.98,-3.866
4.605,50.87,-3.273,50.97,-3.681
4.639,50.89,-3.036,50.98,-3.415
4.672,50.90,-2.741,50.97,-3.082
4.705,50.92,-2.391,50.98,-2.688
4.739,50.93,-1.990,50.97,-2.238
4.772,50.94,-1.547,50.97,-1.740
4.806,50.96,-1.072,50.97,-1.205
4.839,50.98,-0.588,50.98,-0.661
4.872,50.97,-9.420E-2,50.97,-0.106
4.906,50.96,0.402,50.96,0.452
4.939,50.96,0.894,50.97,1.005
4.972,50.96,1.347,50.98,1.514
5.006,50.96,1.774,50.99,1.994
5.039,50.94,2.157,50.99,2.425
5.073,50.91,2.506,50.97,2.818
5.106,50.91,2.798,50.98,3.147
5.139,50.90,3.029,50.99,3.406
5.173,50.89,3.192,50.99,3.589
5.206,50.88,3.281,50.99,3.689
5.239,50.88,3.290,50.98,3.700
5.273,50.87,3.237,50.98,3.641
5.306,50.88,3.112,50.97,3.500
5.340,50.90,2.919,50.98,3.282
5.373,50.92,2.652,50.98,2.981
5.406,50.93,2.328,50.98,2.617
5.440,50.94,1.965,50.98,2.209
5.473,50.96,1.561,50.98,1.755
5.506,50.98,1.111,50.99,1.248
5.540,50.99,0.632,50.99,0.711
5.573,50.98,0.147,50.98,0.165
5.607,50.99,-0.347,50.99,-0.390
5.640,50.98,-0.829,50.98,-0.932
5.673,50.97,-1.302,50.99,-1.463
5.707,50.96,-1.748,50.99,-1.964
5.740,50.94,-2.164,50.99,-2.432
5.773,50.92,-2.524,50.98,-2.838
5.807,50.91,-2.832,50.99,-3.184
5.840,50.91,-3.093,51.00,-3.477
5.873,50.88,-3.282,50.99,-3.691
5.907,50.85,-3.399,50.97,-3.824
5.940,50.86,-3.452,50.97,-3.884
5.974,50.87,-3.440,50.99,-3.868
6.007,50.87,-3.347,50.98,-3.764
6.040,50.88,-3.192,50.98,-3.590
6.074,50.89,-2.976,50.97,-3.347
6.107,50.90,-2.695,50.97,-3.031
6.140,50.92,-2.352,50.97,-2.645
6.174,50.94,-1.962,50.98,-2.206
6.207,50.94,-1.539,50.97,-1.730
6.241,50.95,-1.091,50.96,-1.227
6.274,50.97,-0.623,50.97,-0.701
6.307,50.97,-0.141,50.97,-0.158
6.341,50.97,0.348,50.97,0.391
6.374,50.96,0.820,50.97,0.921
6.407,50.96,1.276,50.97,1.434
6.441,50.95,1.696,50.98,1.906
6.474,50.93,2.083,50.97,2.342
6.508,50.91,2.421,50.97,2.723
6.541,50.90,2.698,50.97,3.034
6.574,50.89,2.919,50.98,3.282
