t,x,y,r,θr
2.002,48.95,6.629,49.40,7.713
2.036,49.13,4.947,49.38,5.749
2.069,49.19,3.935,49.35,4.573
2.102,49.24,2.821,49.32,3.279
2.136,49.30,1.627,49.33,1.890
2.169,49.31,0.384,49.31,0.446
2.203,49.32,-0.870,49.33,-1.011
2.236,49.28,-2.118,49.33,-2.460
2.269,49.20,-3.322,49.32,-3.863
2.303,49.12,-4.480,49.33,-5.211
2.336,49.03,-5.544,49.34,-6.452
2.369,48.92,-6.508,49.35,-7.579
2.403,48.82,-7.331,49.36,-8.541
2.436,48.73,-8.006,49.39,-9.329
2.470,48.66,-8.523,49.40,-9.935
2.503,48.61,-8.873,49.41,-10.34
2.536,48.59,-9.045,49.42,-10.55
2.570,48.60,-9.040,49.43,-10.54
2.603,48.65,-8.850,49.45,-10.31
2.636,48.74,-8.496,49.47,-9.889
2.670,48.82,-7.981,49.47,-9.284
2.703,48.92,-7.314,49.46,-8.503
2.737,49.05,-6.502,49.48,-7.551
2.770,49.16,-5.562,49.47,-6.456
2.803,49.27,-4.512,49.47,-5.233
2.837,49.36,-3.381,49.48,-3.919
2.870,49.44,-2.193,49.48,-2.541
2.903,49.48,-0.963,49.49,-1.115
2.937,49.46,0.266,49.46,0.309
2.970,49.43,1.483,49.46,1.719
3.003,49.38,2.645,49.45,3.066
3.037,49.30,3.742,49.44,4.341
3.070,49.21,4.759,49.44,5.524
3.104,49.11,5.654,49.44,6.567
3.137,49.01,6.408,49.42,7.449
3.170,48.93,7.025,49.43,8.171
3.204,48.86,7.478,49.43,8.701
3.237,48.82,7.764,49.43,9.036
3.270,48.80,7.883,49.43,9.177
3.304,48.80,7.828,49.42,9.114
3.337,48.82,7.599,49.41,8.847
3.371,48.87,7.196,49.40,8.376
3.404,48.94,6.631,49.39,7.716
3.437,49.04,5.928,49.39,6.893
3.471,49.12,5.086,49.39,5.911
3.504,49.19,4.120,49.36,4.787
3.537,49.26,3.054,49.36,3.548
3.571,49.33,1.903,49.36,2.209
3.604,49.37,0.713,49.37,0.827
3.638,49.38,-0.512,49.38,-0.594
3.671,49.36,-1.724,49.39,-2.001
3.704,49.30,-2.908,49.39,-3.376
3.738,49.22,-4.052,49.38,-4.706
3.771,49.13,-5.125,49.39,-5.956
3.804,49.03,-6.098,49.40,-7.090
3.838,48.92,-6.958,49.41,-8.095
3.871,48.84,-7.670,49.44,-8.925
3.905,48.76,-8.238,49.45,-9.590
3.938,48.71,-8.632,49.47,-10.05
3.971,48.69,-8.869,49.49,-10.32
4.005,48.70,-8.919,49.51,-10.38
4.038,48.73,-8.792,49.51,-10.23
4.071,48.79,-8.502,49.52,-9.886
4.105,48.87,-8.047,49.53,-9.351
4.138,48.98,-7.434,49.54,-8.631
4.172,49.10,-6.670,49.55,-7.737
4.205,49.21,-5.783,49.54,-6.703
4.238,49.32,-4.780,49.55,-5.536
4.272,49.42,-3.689,49.56,-4.268
4.305,49.50,-2.547,49.57,-2.945
4.338,49.55,-1.361,49.57,-1.573
4.372,49.56,-0.158,49.56,-0.183
4.405,49.54,1.027,49.55,1.187
4.438,49.50,2.192,49.55,2.536
4.472,49.43,3.284,49.54,3.801
4.505,49.35,4.308,49.54,4.989
4.539,49.26,5.206,49.53,6.033
4.572,49.16,5.996,49.53,6.954
4.605,49.07,6.641,49.51,7.708
4.639,49.00,7.135,49.51,8.286
4.672,48.94,7.476,49.51,8.686
4.705,48.90,7.643,49.50,8.883
4.739,48.90,7.646,49.49,8.887
4.772,48.91,7.471,49.47,8.686
4.806,48.94,7.138,49.46,8.298
4.839,48.99,6.642,49.44,7.720
4.872,49.08,5.988,49.44,6.956
4.906,49.15,5.203,49.43,6.042
4.939,49.23,4.294,49.42,4.984
