t,x,y,r,θr
6.474,43.51,-25.97,50.68,-30.83
6.508,43.72,-25.65,50.69,-30.40
6.541,44.20,-24.82,50.69,-29.32
6.574,44.90,-23.57,50.71,-27.69
6.608,45.74,-21.87,50.70,-25.55
6.641,46.70,-19.72,50.69,-22.90
6.675,47.73,-17.20,50.74,-19.82
6.708,48.69,-14.32,50.75,-16.38
6.741,49.55,-11.13,50.78,-12.66
6.775,50.23,-7.635,50.80,-8.643
6.808,50.65,-3.974,50.81,-4.486
6.841,50.87,-0.208,50.87,-0.234
6.875,50.76,3.529,50.88,3.977
6.908,50.40,7.178,50.91,8.105
6.942,49.83,10.65,50.95,12.06
6.975,49.05,13.86,50.97,15.78
7.008,48.18,16.76,51.01,19.18
7.042,47.26,19.28,51.04,22.20
7.075,46.38,21.38,51.07,24.75
7.108,45.63,23.02,51.11,26.77
7.142,45.05,24.22,51.15,28.26
7.175,44.68,24.93,51.16,29.16
7.209,44.55,25.16,51.16,29.46
7.242,44.68,24.93,51.16,29.16
7.275,45.07,24.23,51.17,28.26
7.309,45.67,23.04,51.15,26.77
7.342,46.44,21.38,51.13,24.71
7.375,47.36,19.24,51.12,22.11
7.409,48.29,16.66,51.09,19.03
7.442,49.19,13.65,51.05,15.51
7.475,49.97,10.34,51.02,11.69
7.509,50.54,6.752,50.99,7.610
7.542,50.88,2.982,50.96,3.355
7.576,50.94,-0.880,50.95,-0.990
7.609,50.68,-4.722,50.90,-5.322
7.642,50.18,-8.436,50.88,-9.543
7.676,49.45,-11.91,50.87,-13.55
7.709,48.56,-15.09,50.85,-17.26
7.742,47.57,-17.89,50.82,-20.61
7.776,46.58,-20.26,50.80,-23.51
7.809,45.67,-22.22,50.79,-25.94
7.843,44.89,-23.73,50.78,-27.86
7.876,43.90,-24.38,50.21,-29.04
7.909,43.84,-25.43,50.68,-30.11
7.943,43.84,-25.31,50.62,-30.00
7.976,44.48,-24.32,50.70,-28.66
8.009,44.95,-23.97,50.94,-28.06
8.043,45.12,-23.15,50.71,-27.16
8.076,45.93,-21.50,50.71,-25.08
8.110,46.84,-19.41,50.70,-22.51
8.143,47.80,-16.97,50.72,-19.55
8.176,48.73,-14.17,50.75,-16.21
8.210,49.57,-11.04,50.78,-12.56
8.243,50.21,-7.662,50.79,-8.676
8.276,50.65,-4.070,50.81,-4.595
8.310,50.85,-0.421,50.85,-0.474
8.343,50.75,3.246,50.85,3.660
8.377,50.43,6.823,50.89,7.705
8.410,49.90,10.22,50.94,11.57
8.443,49.20,13.37,50.98,15.21
8.477,48.38,16.23,51.03,18.54
8.510,47.52,18.72,51.08,21.50
8.543,46.69,20.80,51.11,24.01
8.577,45.97,22.44,51.15,26.02
8.610,45.41,23.63,51.19,27.49
8.644,45.04,24.36,51.21,28.40
8.677,44.93,24.62,51.23,28.72
8.710,45.06,24.41,51.24,28.45
8.744,45.42,23.73,51.24,27.59
8.777,45.98,22.57,51.22,26.14
8.810,46.73,20.95,51.21,24.15
8.844,47.58,18.85,51.18,21.61
8.877,48.47,16.33,51.15,18.61
8.911,49.33,13.39,51.11,15.19
8.944,50.05,10.15,51.07,11.46
8.977,50.59,6.658,51.02,7.498
9.011,50.89,2.963,50.98,3.332
9.044,50.97,-0.805,50.97,-0.905
9.077,50.73,-4.547,50.94,-5.121
9.111,50.26,-8.176,50.92,-9.240
9.144,49.57,-11.57,50.90,-13.14
9.177,48.71,-14.66,50.86,-16.75
9.211,47.76,-17.40,50.83,-20.02
9.244,46.80,-19.72,50.78,-22.85
9.278,45.93,-21.64,50.77,-25.23
9.311,45.19,-23.11,50.75,-27.09
9.344,,,,
9.378,,,,
9.411,,,,
9.444,,,,
9.478,,,,
9.511,,,,
9.545,,,,
9.578,50.74,-3.800,50.88,-4.283
