t,x,y,r,θr
1.735,47.48,13.26,49.30,15.60
1.769,47.97,11.52,49.33,13.50
1.802,48.43,9.508,49.36,11.11
1.835,48.87,7.279,49.41,8.471
1.869,49.26,4.732,49.49,5.487
1.902,49.44,2.133,49.49,2.470
1.936,49.55,-0.502,49.55,-0.580
1.969,49.52,-3.140,49.62,-3.628
2.002,49.34,-5.720,49.68,-6.613
2.036,49.06,-8.176,49.73,-9.462
2.069,48.66,-10.46,49.78,-12.13
2.102,48.21,-12.53,49.82,-14.56
2.136,47.76,-14.34,49.86,-16.71
2.169,47.32,-15.86,49.90,-18.53
2.202,46.92,-17.08,49.93,-20.00
2.236,46.62,-17.95,49.96,-21.06
2.269,46.45,-18.45,49.98,-21.66
2.303,46.40,-18.60,49.99,-21.84
2.336,46.48,-18.39,49.98,-21.59
2.369,46.67,-17.81,49.96,-20.88
2.403,46.99,-16.89,49.93,-19.77
2.436,47.37,-15.66,49.89,-18.30
2.469,47.82,-14.11,49.86,-16.44
2.503,48.27,-12.26,49.80,-14.26
2.536,48.70,-10.19,49.75,-11.82
2.570,49.06,-7.945,49.70,-9.199
2.603,49.35,-5.538,49.66,-6.403
2.636,49.52,-3.052,49.61,-3.527
2.670,49.56,-0.509,49.57,-0.589
2.703,49.47,2.011,49.51,2.327
2.736,49.27,4.489,49.48,5.205
2.770,48.96,6.837,49.44,7.949
2.803,48.59,9.042,49.43,10.54
2.837,48.14,10.96,49.38,12.83
2.870,47.71,12.64,49.36,14.84
2.903,47.30,14.05,49.34,16.55
2.937,46.93,15.20,49.33,17.95
2.970,46.66,15.99,49.33,18.92
3.003,46.51,16.45,49.33,19.48
3.037,46.45,16.58,49.32,19.65
3.070,46.55,16.39,49.35,19.40
3.104,46.75,15.86,49.36,18.74
3.137,47.06,14.97,49.38,17.65
3.170,47.45,13.77,49.40,16.19
3.204,47.88,12.26,49.43,14.36
3.237,48.35,10.44,49.46,12.18
3.270,48.78,8.404,49.50,9.776
3.304,49.15,6.128,49.53,7.107
3.337,49.43,3.692,49.57,4.271
3.370,49.60,1.168,49.62,1.348
3.404,49.65,-1.407,49.67,-1.624
3.437,49.55,-3.996,49.71,-4.610
3.471,49.34,-6.474,49.76,-7.476
3.504,49.02,-8.823,49.81,-10.20
3.537,48.62,-10.99,49.84,-12.74
3.571,48.19,-12.93,49.89,-15.02
3.604,47.74,-14.58,49.91,-16.99
3.637,47.33,-15.98,49.95,-18.65
3.671,46.96,-17.05,49.96,-19.95
3.704,46.72,-17.78,49.99,-20.84
3.738,46.59,-18.15,50.00,-21.29
3.771,46.57,-18.18,50.00,-21.33
3.804,46.69,-17.84,49.98,-20.91
3.838,46.92,-17.16,49.96,-20.09
3.871,47.24,-16.14,49.92,-18.86
3.904,47.64,-14.80,49.89,-17.26
3.938,48.06,-13.17,49.84,-15.32
3.971,48.49,-11.31,49.79,-13.12
4.005,48.89,-9.220,49.75,-10.68
4.038,49.22,-6.932,49.70,-8.018
4.071,49.44,-4.534,49.65,-5.239
4.105,49.55,-2.074,49.59,-2.397
4.138,49.55,0.405,49.55,0.469
4.171,49.42,2.857,49.50,3.309
4.205,49.19,5.219,49.47,6.056
4.238,48.86,7.468,49.43,8.690
4.271,48.47,9.521,49.40,11.11
4.305,48.05,11.34,49.37,13.28
4.338,47.64,12.89,49.35,15.14
4.372,47.25,14.17,49.33,16.69
4.405,46.94,15.14,49.33,17.88
4.438,46.72,15.81,49.32,18.70
