t,x,y,r,θr
1.268,33.80,13.60,36.43,21.92
1.301,34.11,12.74,36.41,20.47
1.335,34.54,11.51,36.41,18.43
1.368,35.01,9.951,36.40,15.87
1.402,35.48,8.073,36.38,12.82
1.435,35.86,5.931,36.35,9.392
1.468,36.15,3.590,36.33,5.672
1.502,36.28,1.144,36.30,1.806
1.535,36.25,-1.313,36.28,-2.074
1.568,36.07,-3.733,36.26,-5.909
1.602,35.72,-6.022,36.23,-9.569
1.635,35.27,-8.118,36.19,-12.96
1.669,34.78,-9.937,36.17,-15.94
1.702,34.30,-11.45,36.16,-18.46
1.735,33.87,-12.63,36.15,-20.46
1.769,33.54,-13.47,36.14,-21.89
1.802,33.35,-13.94,36.15,-22.69
1.835,33.30,-14.03,36.14,-22.85
1.869,33.41,-13.78,36.14,-22.42
1.902,33.68,-13.16,36.16,-21.34
1.936,34.07,-12.18,36.18,-19.67
1.969,34.53,-10.85,36.20,-17.45
2.002,35.03,-9.221,36.22,-14.75
2.036,35.48,-7.323,36.23,-11.66
2.069,35.87,-5.198,36.25,-8.245
2.102,36.14,-2.903,36.26,-4.592
2.136,36.32,-0.499,36.32,-0.787
2.169,36.25,1.880,36.30,2.968
2.202,36.08,4.219,36.32,6.670
2.236,35.76,6.437,36.34,10.20
2.269,35.36,8.442,36.35,13.43
2.303,34.91,10.18,36.36,16.25
2.336,34.48,11.59,36.37,18.58
2.369,34.10,12.67,36.38,20.38
2.403,33.83,13.38,36.38,21.58
2.436,33.70,13.71,36.39,22.14
2.469,33.71,13.66,36.37,22.06
2.503,33.88,13.23,36.37,21.33
2.536,34.17,12.43,36.36,19.98
2.570,34.57,11.27,36.36,18.06
2.603,35.01,9.760,36.35,15.58
2.636,35.44,7.935,36.32,12.62
2.670,35.83,5.877,36.31,9.315
2.703,36.11,3.617,36.29,5.720
2.736,36.25,1.246,36.27,1.969
2.770,36.24,-1.137,36.25,-1.797
2.803,36.05,-3.515,36.22,-5.569
2.837,35.74,-5.764,36.20,-9.162
2.870,35.34,-7.810,36.19,-12.46
2.903,34.87,-9.614,36.17,-15.41
2.937,34.41,-11.12,36.16,-17.91
2.970,34.00,-12.29,36.15,-19.88
3.003,33.67,-13.13,36.14,-21.30
3.037,33.48,-13.61,36.14,-22.12
3.070,33.45,-13.72,36.15,-22.30
3.104,33.56,-13.48,36.16,-21.89
3.137,33.81,-12.88,36.18,-20.86
3.170,34.17,-11.94,36.20,-19.27
3.204,34.60,-10.67,36.21,-17.14
3.237,35.07,-9.083,36.23,-14.52
3.270,35.52,-7.241,36.25,-11.52
3.304,35.89,-5.167,36.26,-8.193
3.337,36.15,-2.945,36.27,-4.657
3.370,36.32,-0.610,36.33,-0.962
3.404,36.26,1.719,36.30,2.714
3.437,36.09,4.009,36.31,6.339
3.471,35.81,6.164,36.33,9.768
3.504,35.43,8.124,36.35,12.91
3.537,35.01,9.811,36.36,15.66
3.571,34.59,11.20,36.36,17.95
3.604,34.23,12.27,36.36,19.71
3.637,33.98,12.98,36.37,20.91
3.671,33.84,13.32,36.37,21.48
3.704,33.85,13.27,36.36,21.41
3.738,34.00,12.86,36.36,20.72
3.771,34.28,12.09,36.35,19.43
3.804,34.65,10.97,36.35,17.56
3.838,35.07,9.501,36.33,15.16
3.871,35.49,7.743,36.32,12.31
3.904,35.85,5.726,36.30,9.074
3.938,36.11,3.540,36.28,5.599
3.971,36.23,1.224,36.25,1.934
4.005,36.24,-1.112,36.25,-1.758
4.038,36.08,-3.425,36.24,-5.423
4.071,35.79,-5.619,36.23,-8.922
4.105,35.38,-7.621,36.19,-12.16
4.138,34.93,-9.392,36.17,-15.05
4.171,34.50,-10.86,36.17,-17.47
4.205,34.10,-12.01,36.15,-19.40
4.238,33.77,-12.84,36.13,-20.82
4.272,33.58,-13.32,36.13,-21.63
4.305,33.54,-13.44,36.13,-21.84
4.338,33.66,-13.21,36.16,-21.43
4.372,33.91,-12.62,36.18,-20.42
4.405,34.24,-11.70,36.18,-18.87
4.438,34.65,-10.46,36.19,-16.79
4.472,35.11,-8.911,36.22,-14.24
4.505,35.55,-7.101,36.25,-11.30
4.538,35.90,-5.087,36.26,-8.064
4.572,36.15,-2.905,36.27,-4.594
4.605,36.31,-0.628,36.32,-0.990
4.639,36.27,1.652,36.30,2.609
4.672,36.12,3.882,36.33,6.134
4.705,35.83,5.981,36.33,9.476
4.739,35.46,7.885,36.33,12.54
4.772,35.06,9.541,36.33,15.23
4.805,34.68,10.91,36.36,17.47
4.839,34.35,11.94,36.36,19.17
4.872,34.09,12.64,36.36,20.34
4.906,33.96,12.97,36.35,20.90
4.939,33.97,12.94,36.35,20.85
4.972,34.12,12.55,36.36,20.20
5.006,34.39,11.80,36.36,18.94
5.039,34.73,10.71,36.34,17.13
5.072,35.12,9.282,36.33,14.80
5.106,35.52,7.572,36.32,12.03
5.139,35.87,5.615,36.31,8.897
5.173,36.13,3.471,36.29,5.488
5.206,36.25,1.207,36.27,1.907
5.239,36.24,-1.059,36.25,-1.673
5.273,36.08,-3.318,36.24,-5.254
5.306,35.81,-5.462,36.22,-8.674
5.339,35.44,-7.420,36.20,-11.83
5.373,35.00,-9.155,36.18,-14.66
5.406,34.58,-10.61,36.17,-17.06
5.439,34.21,-11.74,36.17,-18.94
5.473,33.91,-12.56,36.16,-20.32
5.506,33.74,-13.03,36.16,-21.12
5.540,33.70,-13.15,36.17,-21.31
5.573,33.79,-12.91,36.17,-20.92
5.606,34.01,-12.34,36.18,-19.95
5.640,34.34,-11.43,36.19,-18.41
5.673,34.74,-10.21,36.21,-16.38
5.706,35.16,-8.702,36.22,-13.90
5.740,35.56,-6.938,36.23,-11.04
5.773,35.91,-4.958,36.25,-7.861
5.807,36.15,-2.835,36.26,-4.483
5.840,36.32,-0.614,36.32,-0.968
5.873,36.27,1.602,36.30,2.530
5.907,36.11,3.779,36.31,5.975
5.940,35.85,5.814,36.32,9.213
5.973,35.51,7.677,36.33,12.20
6.007,35.14,9.287,36.34,14.81
6.040,34.76,10.61,36.35,16.97
6.074,34.44,11.63,36.35,18.65
6.107,34.20,12.31,36.35,19.79
6.140,34.08,12.64,36.35,20.35
6.174,34.09,12.60,36.35,20.29
6.207,34.23,12.22,36.34,19.64
6.240,34.48,11.47,36.34,18.41
6.274,34.82,10.40,36.34,16.63
6.307,35.20,9.016,36.34,14.36
6.341,35.57,7.331,36.32,11.65
6.374,35.90,5.421,36.31,8.586
6.407,36.14,3.332,36.30,5.267
6.441,36.27,1.142,36.29,1.803
6.474,36.26,-1.079,36.28,-1.704
6.507,36.11,-3.279,36.26,-5.189
6.541,35.84,-5.365,36.24,-8.515
6.574,35.47,-7.278,36.21,-11.60
6.607,35.07,-8.958,36.20,-14.33
6.641,34.67,-10.37,36.19,-16.65
6.674,34.30,-11.49,36.18,-18.51
6.708,34.03,-12.27,36.17,-19.83
6.741,33.86,-12.73,36.18,-20.60
6.774,33.83,-12.84,36.18,-20.79
6.808,33.93,-12.61,36.19,-20.39
6.841,34.13,-12.05,36.20,-19.45
6.874,34.45,-11.16,36.21,-17.94
6.908,34.82,-9.968,36.22,-15.98
6.941,35.23,-8.482,36.24,-13.54
6.975,35.62,-6.750,36.25,-10.73
7.008,35.94,-4.811,36.26,-7.625
7.041,36.16,-2.730,36.26,-4.317
7.075,36.31,-0.569,36.31,-0.898
7.108,36.26,1.593,36.29,2.516
7.141,36.13,3.700,36.32,5.847
7.175,35.88,5.700,36.33,9.027
7.208,35.55,7.502,36.33,11.92
7.242,35.18,9.067,36.33,14.45
7.275,34.83,10.35,36.33,16.55
7.308,34.53,11.33,36.35,18.17
7.342,34.31,11.99,36.35,19.26
7.375,34.19,12.30,36.34,19.79
7.408,34.20,12.25,36.33,19.71
7.442,34.35,11.87,36.34,19.07
7.475,34.60,11.14,36.35,17.85
7.509,34.91,10.08,36.34,16.11
7.542,35.26,8.725,36.33,13.90
7.575,35.61,7.082,36.31,11.25
7.609,35.93,5.224,36.30,8.273
7.642,36.16,3.192,36.30,5.045
7.675,36.27,1.040,36.28,1.643
7.709,36.24,-1.117,36.25,-1.765
7.742,36.10,-3.259,36.24,-5.159
7.775,35.85,-5.303,36.24,-8.415
7.809,35.51,-7.162,36.23,-11.40
7.842,35.14,-8.795,36.22,-14.05
7.876,34.74,-10.17,36.20,-16.32
7.909,34.38,-11.26,36.18,-18.13
7.942,34.13,-12.02,36.19,-19.40
7.976,33.99,-12.46,36.20,-20.13
8.009,33.95,-12.56,36.19,-20.30
8.042,34.03,-12.32,36.19,-19.90
8.076,34.24,-11.76,36.20,-18.95
8.109,34.56,-10.87,36.23,-17.47
8.143,34.92,-9.696,36.24,-15.52
8.176,35.30,-8.232,36.25,-13.13
8.209,35.64,-6.533,36.24,-10.39
8.243,35.95,-4.631,36.25,-7.341
8.276,36.17,-2.601,36.27,-4.113
8.309,36.33,-0.490,36.33,-0.773
8.343,36.26,1.602,36.29,2.531
8.376,36.10,3.668,36.29,5.801
8.410,35.87,5.601,36.30,8.876
8.443,35.57,7.349,36.32,11.67
8.476,35.24,8.873,36.34,14.13
8.510,34.89,10.12,36.33,16.17
8.543,34.60,11.07,36.33,17.74
8.576,34.40,11.69,36.33,18.77
8.610,34.30,11.98,36.33,19.25
8.643,34.32,11.93,36.33,19.17
8.676,34.44,11.54,36.32,18.52
8.710,34.67,10.81,36.32,17.32
8.743,34.98,9.765,36.32,15.60
8.777,35.33,8.418,36.32,13.40
8.810,35.67,6.821,36.31,10.83
8.843,35.94,4.993,36.28,7.910
8.877,36.15,3.006,36.28,4.753
8.910,36.26,0.911,36.27,1.439
8.943,36.24,-1.187,36.26,-1.875
8.977,36.08,-3.285,36.23,-5.202
9.010,35.84,-5.267,36.23,-8.360
9.044,35.54,-7.065,36.23,-11.24
9.077,35.17,-8.665,36.22,-13.84
9.110,34.79,-9.989,36.20,-16.02
9.144,34.46,-11.03,36.18,-17.75
9.177,34.24,-11.75,36.20,-18.95
9.210,34.11,-12.16,36.21,-19.63
9.244,34.07,-12.24,36.20,-19.77
