t,x,y,r,θr
1.034,35.99,5.418,36.39,8.562
1.068,36.06,4.844,36.38,7.650
1.101,36.15,4.109,36.39,6.483
1.135,36.26,3.208,36.41,5.056
1.168,36.34,2.250,36.41,3.544
1.201,36.38,1.200,36.40,1.889
1.235,36.40,0.126,36.40,0.198
1.268,36.39,-0.961,36.40,-1.513
1.301,36.34,-2.026,36.40,-3.191
1.335,36.28,-3.032,36.40,-4.777
1.368,36.19,-3.946,36.40,-6.224
1.402,36.08,-4.758,36.39,-7.512
1.435,35.98,-5.425,36.39,-8.573
1.468,35.91,-5.928,36.39,-9.374
1.502,35.85,-6.255,36.40,-9.896
1.535,35.83,-6.399,36.39,-10.13
1.568,35.82,-6.368,36.38,-10.08
1.602,35.85,-6.160,36.38,-9.750
1.635,35.93,-5.806,36.40,-9.179
1.669,36.01,-5.275,36.40,-8.333
1.702,36.10,-4.601,36.39,-7.263
1.735,36.22,-3.800,36.42,-5.989
1.769,36.30,-2.878,36.41,-4.533
1.802,36.36,-1.879,36.40,-2.958
1.835,36.40,-0.835,36.41,-1.314
1.869,36.38,0.229,36.38,0.361
1.902,36.32,1.236,36.34,1.949
1.935,36.25,2.222,36.31,3.508
1.969,36.15,3.123,36.28,4.938
2.002,36.05,3.920,36.26,6.207
2.036,35.96,4.604,36.26,7.295
2.069,35.88,5.159,36.25,8.182
2.102,35.94,5.612,36.37,8.877
2.136,35.91,5.827,36.38,9.218
2.169,35.91,5.877,36.39,9.295
2.202,35.94,5.751,36.40,9.092
2.236,35.98,5.457,36.39,8.623
2.269,36.05,4.995,36.40,7.888
2.303,36.14,4.382,36.40,6.913
2.336,36.23,3.624,36.41,5.712
2.369,36.30,2.756,36.41,4.341
2.403,36.36,1.794,36.40,2.826
2.436,36.39,0.764,36.39,1.203
2.469,36.40,-0.275,36.40,-0.433
2.503,36.38,-1.323,36.41,-2.083
2.536,36.33,-2.334,36.41,-3.676
2.570,36.26,-3.281,36.41,-5.171
2.603,36.17,-4.132,36.41,-6.517
2.636,36.07,-4.868,36.40,-7.686
2.670,35.98,-5.464,36.39,-8.635
2.703,35.92,-5.902,36.40,-9.331
2.736,35.88,-6.157,36.40,-9.739
2.770,35.86,-6.248,36.40,-9.884
2.803,35.87,-6.157,36.39,-9.741
2.836,35.91,-5.900,36.39,-9.330
