t,x,y,r,θr
1.669,31.84,18.85,37.00,30.63
1.702,31.84,18.85,37.00,30.63
1.735,32.37,17.90,36.99,28.94
1.769,33.15,16.46,37.01,26.40
1.802,34.06,14.47,37.01,23.03
1.835,34.95,12.12,36.99,19.13
1.869,35.76,9.369,36.97,14.68
1.902,36.43,6.268,36.97,9.762
1.936,36.83,2.915,36.94,4.526
1.969,36.93,-0.500,36.93,-0.776
2.002,36.72,-3.945,36.93,-6.132
2.036,36.22,-7.234,36.93,-11.29
2.069,35.47,-10.24,36.92,-16.10
2.102,34.58,-12.89,36.90,-20.45
2.136,33.66,-15.11,36.90,-24.17
2.169,32.82,-16.86,36.90,-27.19
2.203,32.14,-18.13,36.90,-29.43
2.236,31.66,-18.94,36.89,-30.88
2.269,31.47,-19.25,36.89,-31.45
2.303,31.59,-19.10,36.91,-31.16
2.336,31.98,-18.47,36.93,-30.01
2.369,32.60,-17.37,36.94,-28.05
2.403,33.40,-15.81,36.95,-25.33
2.436,34.30,-13.79,36.97,-21.91
2.470,35.19,-11.37,36.98,-17.90
2.503,35.98,-8.574,36.99,-13.40
2.536,36.58,-5.499,36.99,-8.550
2.570,36.93,-2.255,37.00,-3.494
2.603,36.99,1.085,37.00,1.680
2.636,36.74,4.370,37.00,6.782
2.670,36.25,7.494,37.01,11.68
2.703,35.53,10.34,37.01,16.22
2.737,34.72,12.84,37.02,20.29
2.770,33.87,14.91,37.01,23.76
2.803,33.11,16.56,37.02,26.58
2.837,32.49,17.75,37.02,28.65
2.870,32.09,18.45,37.01,29.91
2.903,31.95,18.68,37.01,30.31
2.937,32.09,18.42,37.00,29.86
2.970,32.49,17.70,37.00,28.58
3.004,33.11,16.48,36.99,26.46
3.037,33.90,14.80,36.99,23.59
3.070,34.76,12.66,36.99,20.02
3.104,35.58,10.11,36.98,15.87
3.137,36.28,7.204,36.99,11.23
3.170,36.76,4.023,36.98,6.246
3.204,36.98,0.688,36.99,1.066
3.237,36.89,-2.658,36.98,-4.121
3.271,36.49,-5.915,36.97,-9.208
3.304,35.86,-8.951,36.96,-14.01
3.337,35.07,-11.67,36.96,-18.41
3.371,34.19,-14.01,36.95,-22.28
3.404,33.35,-15.90,36.95,-25.49
3.437,32.63,-17.34,36.95,-27.99
3.471,32.10,-18.30,36.95,-29.69
3.504,31.81,-18.80,36.95,-30.58
3.538,31.79,-18.81,36.94,-30.62
3.571,32.06,-18.36,36.95,-29.80
3.604,32.59,-17.44,36.96,-28.16
3.638,33.30,-16.06,36.97,-25.74
3.671,34.13,-14.23,36.98,-22.64
3.704,34.98,-11.99,36.98,-18.91
3.738,35.78,-9.370,36.99,-14.67
3.771,36.42,-6.454,36.98,-10.05
3.804,36.83,-3.332,36.98,-5.170
3.838,36.97,-4.931E-2,36.97,-7.641E-2
3.871,36.85,3.152,36.98,4.889
3.905,36.44,6.248,36.97,9.728
3.938,35.83,9.115,36.97,14.27
3.971,35.08,11.68,36.97,18.41
4.005,34.28,13.85,36.97,22.00
4.038,33.53,15.61,36.98,24.96
4.071,32.89,16.92,36.98,27.22
4.105,32.44,17.77,36.98,28.71
4.138,32.22,18.13,36.97,29.37
4.172,32.25,18.05,36.96,29.24
4.205,32.56,17.50,36.96,28.26
4.238,33.08,16.48,36.96,26.48
4.272,33.78,15.00,36.96,23.94
4.305,34.58,13.05,36.96,20.69
4.338,35.37,10.70,36.95,16.84
4.372,36.07,7.987,36.94,12.49
4.405,36.61,4.983,36.95,7.750
4.439,36.90,1.772,36.94,2.750
4.472,36.89,-1.464,36.92,-2.272
4.505,36.63,-4.712,36.93,-7.331
4.539,36.11,-7.763,36.94,-12.13
4.572,35.40,-10.54,36.94,-16.58
4.605,34.59,-12.96,36.93,-20.54
4.639,33.77,-14.96,36.93,-23.89
4.672,33.03,-16.53,36.94,-26.58
4.706,32.47,-17.63,36.94,-28.50
4.739,32.13,-18.26,36.95,-29.61
4.772,32.04,-18.43,36.96,-29.91
4.806,32.20,-18.14,36.96,-29.39
4.839,32.62,-17.38,36.96,-28.06
4.872,33.24,-16.16,36.96,-25.93
4.906,34.00,-14.50,36.97,-23.10
4.939,34.81,-12.43,36.97,-19.65
4.973,35.60,-9.993,36.97,-15.68
5.006,36.26,-7.227,36.98,-11.27
5.039,36.73,-4.229,36.97,-6.568
5.073,36.94,-1.092,36.96,-1.693
5.106,36.90,2.043,36.96,3.170
5.139,36.59,5.103,36.94,7.940
5.173,36.08,7.985,36.95,12.48
5.206,35.41,10.58,36.95,16.63
5.240,34.66,12.82,36.96,20.30
5.273,33.91,14.66,36.95,23.39
5.306,33.26,16.08,36.94,25.81
5.340,32.78,17.05,36.95,27.49
5.373,32.50,17.56,36.94,28.38
5.406,32.46,17.62,36.93,28.49
5.440,32.68,17.22,36.93,27.78
5.473,33.11,16.36,36.93,26.29
5.506,33.74,15.04,36.94,24.03
5.540,34.47,13.28,36.93,21.07
5.573,35.23,11.10,36.94,17.49
5.607,35.94,8.557,36.95,13.39
5.640,36.50,5.695,36.94,8.867
5.673,36.87,2.622,36.96,4.069
5.707,36.95,-0.515,36.96,-0.799
5.740,36.77,-3.697,36.96,-5.741
5.773,36.33,-6.729,36.95,-10.49
5.807,35.71,-9.523,36.95,-14.93
5.840,34.95,-11.99,36.95,-18.94
5.874,34.16,-14.08,36.94,-22.39
5.907,33.43,-15.74,36.95,-25.21
