t,x,y,r,θr
1.769,35.57,8.842,36.65,13.96
1.802,35.76,8.008,36.65,12.62
1.835,35.97,6.958,36.64,10.95
1.869,36.16,5.648,36.60,8.878
1.902,36.34,4.209,36.58,6.608
1.936,36.45,2.622,36.54,4.114
1.969,36.52,0.964,36.53,1.512
2.002,36.49,-0.688,36.49,-1.080
2.036,36.39,-2.341,36.47,-3.680
2.069,36.21,-3.924,36.43,-6.185
2.102,36.00,-5.367,36.40,-8.478
2.136,35.76,-6.604,36.36,-10.46
2.169,35.53,-7.674,36.35,-12.19
2.203,35.32,-8.519,36.33,-13.56
2.236,35.27,-9.285,36.47,-14.75
2.269,35.17,-9.632,36.47,-15.31
2.303,35.15,-9.708,36.46,-15.44
2.336,35.20,-9.511,36.46,-15.12
2.369,35.32,-9.058,36.46,-14.38
2.403,35.50,-8.352,36.47,-13.24
2.436,35.71,-7.415,36.47,-11.73
2.470,35.92,-6.267,36.46,-9.896
2.503,36.13,-4.941,36.47,-7.787
2.536,36.31,-3.486,36.48,-5.483
2.570,36.44,-1.919,36.49,-3.014
2.603,36.51,-0.288,36.51,-0.452
2.636,36.48,1.295,36.51,2.034
2.670,36.40,2.859,36.51,4.492
2.703,36.26,4.330,36.51,6.810
2.737,36.08,5.671,36.53,8.932
2.770,35.90,6.833,36.54,10.78
2.803,35.71,7.798,36.55,12.32
2.837,35.55,8.532,36.56,13.50
2.870,35.44,9.021,36.57,14.28
2.903,35.39,9.242,36.58,14.64
2.937,35.41,9.194,36.58,14.56
2.970,35.49,8.872,36.58,14.04
3.004,35.64,8.306,36.59,13.12
3.037,35.83,7.480,36.60,11.79
3.070,36.02,6.419,36.59,10.10
3.104,36.22,5.155,36.59,8.100
3.137,36.39,3.729,36.58,5.852
3.170,36.51,2.190,36.57,3.434
3.204,36.56,0.600,36.57,0.940
3.237,36.54,-1.053,36.55,-1.651
3.271,36.45,-2.661,36.55,-4.176
3.304,36.30,-4.183,36.54,-6.573
3.337,36.10,-5.566,36.52,-8.765
3.371,35.88,-6.777,36.51,-10.70
3.404,35.66,-7.787,36.50,-12.32
3.437,35.47,-8.572,36.50,-13.59
3.471,35.33,-9.109,36.48,-14.46
3.504,35.25,-9.393,36.48,-14.92
3.537,35.24,-9.414,36.48,-14.95
3.571,35.30,-9.169,36.47,-14.56
3.604,35.41,-8.679,36.45,-13.77
3.638,35.57,-7.939,36.45,-12.58
3.671,35.78,-6.979,36.45,-11.04
3.704,36.00,-5.826,36.46,-9.195
3.738,36.18,-4.518,36.46,-7.119
3.771,36.34,-3.078,36.47,-4.842
3.804,36.44,-1.539,36.48,-2.417
3.838,36.50,6.122E-2,36.50,9.610E-2
3.871,36.47,1.580,36.51,2.480
3.905,36.38,3.080,36.51,4.838
3.938,36.23,4.480,36.51,7.048
3.971,36.08,5.764,36.54,9.077
4.005,35.90,6.871,36.56,10.83
4.038,35.73,7.764,36.57,12.26
4.071,35.58,8.426,36.57,13.32
4.105,35.48,8.842,36.57,13.99
4.138,35.46,9.008,36.58,14.25
4.172,35.49,8.909,36.59,14.09
4.205,35.59,8.544,36.60,13.50
4.238,35.73,7.922,36.60,12.50
4.272,35.91,7.066,36.60,11.13
4.305,36.10,5.994,36.60,9.427
4.338,36.28,4.734,36.59,7.434
4.372,36.43,3.317,36.58,5.202
4.405,36.53,1.788,36.58,2.801
4.439,36.57,0.255,36.57,0.400
4.472,36.53,-1.358,36.56,-2.129
4.505,36.43,-2.911,36.55,-4.568
4.539,36.28,-4.358,36.54,-6.850
4.572,36.08,-5.671,36.52,-8.933
4.605,35.87,-6.811,36.51,-10.75
4.639,35.67,-7.748,36.50,-12.26
4.672,35.50,-8.455,36.49,-13.40
4.706,35.38,-8.921,36.48,-14.15
4.739,35.32,-9.131,36.48,-14.50
4.772,35.32,-9.092,36.48,-14.43
4.806,35.40,-8.795,36.47,-13.95
4.839,35.52,-8.259,36.47,-13.09
4.872,35.69,-7.501,36.47,-11.87
4.906,35.88,-6.531,36.47,-10.32
4.939,36.07,-5.381,36.47,-8.484
4.973,36.25,-4.081,36.48,-6.423
5.006,36.40,-2.662,36.50,-4.183
5.039,36.48,-1.159,36.50,-1.820
5.073,36.51,0.402,36.52,0.631
5.106,36.48,1.866,36.52,2.928
5.139,36.38,3.315,36.53,5.206
5.173,36.24,4.657,36.54,7.322
5.206,36.09,5.869,36.56,9.237
5.240,35.92,6.895,36.57,10.87
5.273,35.76,7.709,36.58,12.17
5.306,35.62,8.300,36.58,13.12
5.340,35.55,8.667,36.59,13.70
5.373,35.54,8.771,36.60,13.86
5.406,35.57,8.616,36.60,13.62
5.440,35.66,8.195,36.59,12.94
5.473,35.81,7.542,36.59,11.89
5.506,35.98,6.668,36.60,10.50
5.540,36.16,5.578,36.59,8.768
5.573,36.32,4.312,36.58,6.771
5.607,36.45,2.911,36.57,4.567
5.640,36.53,1.410,36.56,2.210
5.673,36.56,-0.104,36.56,-0.163
5.707,36.50,-1.642,36.54,-2.577
