t,x,y,r,θr
2.069,29.05,8.616,30.30,16.52
2.102,29.05,8.616,30.30,16.52
2.136,29.35,7.595,30.32,14.51
2.169,29.65,6.273,30.31,11.95
2.203,29.92,4.713,30.29,8.951
2.236,30.14,2.985,30.28,5.657
2.269,30.26,1.130,30.28,2.139
2.303,30.27,-0.757,30.28,-1.433
2.336,30.13,-2.635,30.24,-4.998
2.369,29.90,-4.412,30.22,-8.396
2.403,29.60,-6.023,30.21,-11.50
2.436,29.28,-7.414,30.20,-14.21
2.470,28.97,-8.529,30.20,-16.40
2.503,28.71,-9.337,30.19,-18.01
2.536,28.53,-9.837,30.18,-19.02
2.570,28.47,-9.995,30.17,-19.35
2.603,28.53,-9.823,30.17,-19.00
2.636,28.71,-9.319,30.18,-17.98
2.670,28.97,-8.503,30.19,-16.36
2.703,29.28,-7.385,30.19,-14.16
2.737,29.61,-6.018,30.22,-11.49
2.770,29.91,-4.433,30.24,-8.430
2.803,30.14,-2.688,30.26,-5.097
2.837,30.25,-0.860,30.26,-1.629
2.870,30.26,0.988,30.28,1.869
2.903,30.18,2.775,30.31,5.254
2.937,29.99,4.459,30.32,8.457
2.970,29.71,5.954,30.30,11.33
3.004,29.41,7.237,30.29,13.82
3.037,29.14,8.245,30.28,15.80
3.070,28.95,8.972,30.30,17.22
3.104,28.81,9.383,30.30,18.04
3.137,28.75,9.484,30.28,18.26
3.170,28.81,9.270,30.26,17.84
3.204,28.99,8.734,30.28,16.77
3.237,29.25,7.899,30.30,15.11
3.271,29.55,6.796,30.32,12.95
3.304,29.82,5.441,30.31,10.34
3.337,30.04,3.873,30.29,7.347
3.371,30.21,2.159,30.29,4.087
3.404,30.29,0.347,30.29,0.656
3.437,30.25,-1.481,30.28,-2.802
3.471,30.08,-3.255,30.25,-6.177
3.504,29.82,-4.911,30.22,-9.351
3.538,29.53,-6.397,30.21,-12.23
3.571,29.23,-7.649,30.21,-14.67
3.604,28.95,-8.612,30.20,-16.57
3.638,28.71,-9.282,30.17,-17.92
3.671,28.57,-9.640,30.15,-18.64
3.704,28.57,-9.667,30.16,-18.69
3.738,28.70,-9.360,30.19,-18.06
3.771,28.90,-8.746,30.20,-16.83
3.804,29.16,-7.825,30.19,-15.02
3.838,29.45,-6.637,30.19,-12.70
3.871,29.76,-5.222,30.21,-9.953
3.905,30.03,-3.622,30.24,-6.879
3.938,30.21,-1.892,30.27,-3.584
3.971,30.26,-7.711E-2,30.26,-0.146
4.005,30.22,1.671,30.27,3.165
4.038,30.09,3.354,30.28,6.360
4.071,29.90,4.909,30.30,9.324
4.105,29.65,6.282,30.31,11.96
4.138,29.36,7.408,30.28,14.16
4.172,29.10,8.271,30.26,15.86
4.205,28.94,8.847,30.26,17.00
4.238,28.86,9.123,30.27,17.54
4.272,28.87,9.101,30.27,17.50
4.305,28.97,8.760,30.26,16.83
4.338,29.15,8.131,30.26,15.59
4.372,29.40,7.221,30.28,13.80
4.405,29.69,6.040,30.30,11.50
4.439,29.93,4.637,30.29,8.805
4.472,30.13,3.051,30.29,5.783
4.505,30.24,1.345,30.27,2.546
4.539,30.26,-0.396,30.26,-0.749
4.572,30.17,-2.169,30.25,-4.112
4.605,30.00,-3.848,30.24,-7.309
4.639,29.75,-5.382,30.24,-10.25
4.672,29.45,-6.727,30.21,-12.87
4.706,29.15,-7.822,30.18,-15.02
4.739,28.91,-8.639,30.17,-16.64
4.772,28.77,-9.149,30.19,-17.64
4.806,28.71,-9.353,30.19,-18.05
4.839,28.73,-9.247,30.18,-17.84
4.872,28.86,-8.824,30.18,-17.00
4.906,29.07,-8.098,30.18,-15.56
4.939,29.36,-7.099,30.20,-13.60
4.973,29.65,-5.853,30.22,-11.17
5.006,29.91,-4.399,30.23,-8.368
